Topic,Difficulty,Exercise Description
Playwright: Actions - Date Picker Built-in,Beginner,"Use locator.fill() to fill date input with format 'YYYY-MM-DD'. Verify date value in input. Reference: https://playwright.dev/docs/api/class-locator#locator-fill"
Playwright: Actions - Date Picker Calendar,Intermediate,"Click date picker to open calendar. Navigate months using previous/next buttons. Click date number. Verify date selected. Reference: https://playwright.dev/docs/api/class-locator#locator-click"
Playwright: Actions - Date Picker Complex,Advanced,"Interact with custom calendar widget: click to open, navigate months, select day. Handle calendar navigation. Reference: https://playwright.dev/docs/input#select-time"
Playwright: Actions - Drag and Drop,Beginner,"Use locator.dragTo() to drag element to target location. Verify element moved. Reference: https://playwright.dev/docs/api/class-locator#locator-drag-to"
Playwright: Actions - Drag and Drop with Mouse,Intermediate,"Use mouse.down(), hover(), and mouse.up() to simulate drag-drop. Show manual mouse control. Reference: https://playwright.dev/docs/api/class-mouse"
Playwright: Actions - Drag and Drop Complex,Advanced,"Implement drag-drop with multiple steps: hover source, press, move to target, hover target, release. Reference: https://playwright.dev/docs/input#drag-and-drop"
Playwright: Shadow DOM,Beginner,"Access shadow DOM elements using getByTestId() inside shadow. Fill a shadow element with text. Reference: https://playwright.dev/docs/shadow-dom"
Playwright: Shadow DOM - Custom Test-id,Beginner,"Set custom test-id attribute using selectors.setTestIdAttribute('data-testid'). Access shadow element by custom test-id. Reference: https://playwright.dev/docs/locators#locate-by-test-id"
Playwright: Shadow DOM - Through Page Navigation,Intermediate,"Login > navigate to shadow DOM page > find and interact with shadow DOM element. Use getByTestId() for shadow element access. Reference: https://playwright.dev/docs/shadow-dom"
Playwright: Shadow DOM - Fill Shadow Input,Intermediate,"Access shadow DOM input field and fill it with text using getByTestId(). Verify text was entered. Reference: https://playwright.dev/docs/shadow-dom"
Playwright: Shadow DOM - Compare with Regular DOM,Advanced,"Interact with regular DOM elements and shadow DOM elements in same test. Show how Playwright handles both transparently. Reference: https://playwright.dev/docs/shadow-dom"
